id,name,street,zip_code,city
Postfiliale 646marsdorfer str. 401458ottendorf-okrilla,blumengeschäft franke,marsdorfer str. 4,01458,ottendorf-okrilla
DHL Paketshop 694röderstr. 601454radeberg,fahrrad kühn,röderstr. 6,01454,radeberg
Postfiliale 660rödertalstr. 6801454radeberg,dorfladen,rödertalstr. 68,01454,radeberg
DHL Paketshop 434hauptstr. 1801454radeberg,preisparadies,hauptstr. 18,01454,radeberg
DHL Paketshop bahnhofstr. 2701458ottendorf-okrilla,präsent münnich,bahnhofstr. 27,01458,ottendorf-okrilla
Packstation 229oberstr. 1001454radeberg,lidl markt,oberstr. 10,01454,radeberg
Packstation 201dresdner str. 25a01458ottendorf-okrilla,penny markt,dresdner str. 25a,01458,ottendorf-okrilla
DHL Paketshop 465an der ziegelei 401454radeberg,toom baumarkt helbig ohg,an der ziegelei 4,01454,radeberg
Postfiliale 540pulsnitzer str. 3301454radeberg,john scheller,pulsnitzer str. 33,01454,radeberg
Postfiliale 652an der ziegelei 201454radeberg,edeka scheller,an der ziegelei 2,01454,radeberg
Paketbox bergener ring 2-601458ottendorf-okrilla,,bergener ring 2-6,01458,ottendorf-okrilla
DHL Paketshop 493radeberger str. 3201454wachau,ep: elektronik richter gbr,radeberger str. 32,01454,wachau
Postfiliale 624an der orla 3701454wachau,einkaufsshop,an der orla 37,01454,wachau
Postfiliale 678königsbrücker str. 13e01458ottendorf-okrilla,tv-shop herrich,königsbrücker str. 13e,01458,ottendorf-okrilla
DHL Paketshop 758bahnhofstr. 1301471radeburg,landmaxx bhg gmbh-markt radeburg,bahnhofstr. 13,01471,radeburg
Packstation 206lindenweg 101471radeburg,lidl markt,lindenweg 1,01471,radeburg
Postfiliale 442meißner str. 301471radeburg,,meißner str. 3,01471,radeburg
Packstation 112großenhainer str. 5801471radeburg,"rewe markt, an der ausfahrt",großenhainer str. 58,01471,radeburg
DHL Paketshop lomnitzer hauptstr. 1001454wachau,münnich-online,lomnitzer hauptstr. 10,01454,wachau
Postfiliale 610schulstr. 1001936laußnitz,einkaufsmarkt hoffmann,schulstr. 10,01936,laußnitz
Packstation 225birkenweg 201936königsbrück,aldi markt,birkenweg 2,01936,königsbrück
DHL Paketshop 715alte hauptstr. 2801454wachau,bäckerei kunath,alte hauptstr. 28,01454,wachau
Postfiliale 564hauptstr. 3201689weinböhla,büroshop & geschenke,hauptstr. 32,01689,weinböhla
Postfiliale 611curt-tausch-str. 901936königsbrück,tabakhaus jurisch,curt-tausch-str. 9,01936,königsbrück
DHL Paketshop 739dresdner str. 1801689weinböhla,edeka starke,dresdner str. 18,01689,weinböhla
Packstation 169dresdner str. 1601689weinböhla,lidl markt,dresdner str. 16,01689,weinböhla
DHL Paketshop 430auerstr. 11901640coswig,landmaxx bhg gmbh markt coswig,auerstr. 119,01640,coswig
DHL Paketshop 729kamenzer str. 3501936königsbrück,getränkehandel tamke gmbh,kamenzer str. 35,01936,königsbrück
